id,question,correct_answer,option1,option2,option3,option4,category,points
151,How do we conclude our salah?,By making the salam towards the right shoulder first and then the left shoulder.,By making the salam towards the left shoulder only.,By making the salam towards the front view.,By making the salam towards the right shoulder first and then the left shoulder.,all of the above.,The Great Masjid,10
152,What is the cloth covering the door of the Kabah called?,Burqah.,Washik.,Kiswah. ,Black cloth.,Burqah.,The Great Masjid,10
153,Where is this famous Mosque known as the Istiqlal Mosque situated? ,Indonesia.,Indonesia.,Sharjah.,Malaysia.,Pakistan.,The Great Masjid,10
154,"When praying behind the Imam, should we make our prayer movements ahead of the Imam?","No, we should not.  We should all follow his movements, which are signalled by the words Allahu Akbar.","Yes, we should.","No, we should not.  We should all follow his movements, which are signalled by the words Allahu Akbar.",None of the above.,All of the above.,The Great Masjid,10
155,How high are the walls of the Kabah?,49 feet high.,42 feet high.,47 feet high.,49 feet high.,52 feet high,The Great Masjid,10
156,The mosque in the picture is known as the Shah Faisal mosque and is located in ______________.,Islamabad.,Islamabad.,Riyadh.,New York.,Texas.,The Great Masjid,10
157,"Who delivers the khutba, or sermon, in the Friday (Jumuah) prayer?",The Imam who leads the prayer.,A visitor to the masjid.,The one who calls to prayer.,The Imam who leads the prayer.,Any visiting scholar.,The Great Masjid,10
158,Which corner of the Kabah which is called ar-Rukn al-Aswad?,Eastern.,Northern.,Southern.,Western.,Eastern.,The Great Masjid,10
159,A large central dome with many half does providing lateral support to which civilization style of mosque architecture? (see pic),Ottoman.,Sasanid,Ottoman.,Iranian.,Malaysian.,The Great Masjid,10
160,Who is a Muezzin?,One who makes the call to prayer (or adhan) five times a day.,One who makes the call to prayer (or adhan) five times a day.,The one who keeps masjid account.,Those that pray behind the Imam.,None of the above.,The Great Masjid,10
161,What is the dimension of Mount Arafat?,10 km long and 6 km wide.,5 km long and 3 km wide.,15 km long and 8 km wide.,10 km long and 6 km wide.,12 km long and 7 km wide.,The Great Masjid,10
162,What is Iqamah?,The call to prayer said before the Imam begins the salah.,Standing to honour a Chief.,The call to prayer said before the Imam begins the salah.,The call to masjid for a party.,Khatim Qur'an party,The Great Masjid,10
163,What is the  name given to corner of the Kabah which is called ar-Rukn al-Yamani?,Southern.,Southern.,Eastern.,Northern.,Western.,The Great Masjid,10
164,"Where is the mosque of Ibn Tulun whose design was influenced by the mosque of Samara, Iraq situated?",Cairo.,Baghdad.,Damascus.,Cairo.,Toledo.,The Great Masjid,10
165,Which of the following is true about an adhan? 1. Adhan is a call to prayer.  2. It is made before all the five daily prayers.  3. This is the announcement of the time of the particular prayer and also an invitation to pray.,All of the above.,3. only,1. only,2. only,All of the above.,The Great Masjid,10
166,At what distance is the Masjid Quba to Masjid an-Nabawi in Madinah?,5 km (3 miles).,8 km (5 miles),5 km (3 miles).,3 km (1 mile),All of the above,The Great Masjid,10
167,"Muquarnas are vault-like arches employed as decorative elements in a mosque.  Are they carved out of wood, stone, stucco or ceramic?",All of the above.,All of the above.,1. only.,2. Only.,1. and 3. only.,The Great Masjid,10
168,What is Tashahhud?,The dua which is said in a sitting position (jalsah) during the salah.,The dua which is said when leaving the house.,The dua which is said when travelling.,The dua which is said in a sitting position (jalsah) during the salah.,The dua which is said in a sujud position during the salah.,The Great Masjid,10
169,Which city is situated 350 km to the north of the Kabah?,Madinah.,Makkah.,Jeddah.,Taif.,Madinah.,The Great Masjid,10
170,How many rakah do we say in the fajr prayer?,2 rakah fard and 2 rakah sunnah.,2 rakah sunnah.,2 rakah fard and 2 rakah sunnah.,3 rakah sunnah.,4 rakah fard.,The Great Masjid,10
171,How many floor does the walkway between Safa and Marwa consist of today?,Two floors.,Two floors.,One floor,Four floor,Three floor.,The Great Masjid,10
172,"Did the Muslims use the unique application of two-dimensional goemetric patterns for sufface decorations in the architecture of mosques, roads or ships?",Architecture of mosques.,Architecture of ships,Architecture of roads.,Architecture of mosques.,Great wall architecture.,The Great Masjid,10
173,How many rakah do we say in the Zuhr prayer?,"4 sunnah, 4 fard and 2 sunnah.","4 sunnah, 4 fard and 3 sunnah.","4 sunnah, 3 fard and 2 sunnah.","4 sunnah, 2 fard and 2 sunnah.","4 sunnah, 4 fard and 2 sunnah.",The Great Masjid,10
174,What area of land does the al-Mataf(the area where tawaf is performed) cover?,3058sq.m.,4000sq.m.,3058sq.m.,3000sq.m,2500sq.m,The Great Masjid,10
175,"Were Umar-al-Khayyam, Abul Wafa al-Buzjani, Abu Mansur al-Khwarizimi Ibn al-Haytham and Jamshed al-Kashi associated with medicine, poetry or mathematics?",Mathematics.,Mathematics.,Chemistry.,Medicine.,Medieval philology,The Great Masjid,10
176,How many rakah do we say in the Asr prayer?,4 Fard.,Two Fard.,3 Fard.,4 Fard.,None of the above.,The Great Masjid,10
177,How many steps does the stairway that leads to underground chamber housing the well Zamzam inside the Masjid al-Haram at Makkah consist of? (see pic).,24 steps,20 steps,22 steps,30 steps,24 steps,The Great Masjid,10
178,This is the famous 238 feet high minar situated inside a mosque complex in New Delhi and is known as the _________________.,Qutub Minar.,Firoz Shah Minar,Qutub Minar.,Khalji Minar,Qutub Firoz,The Great Masjid,10
179,How many rakah do we offer in the Maghrib prayer?,3 fard and 2 sunnah.,3 fard and 2 sunnah.,3 fard and 3 sunnah.,4 fard and 3 sunnah.,All of the above.,The Great Masjid,10
180,What is the dimension of the walkway between Safa and Marwa?,393 metres long and 20 metres wide.,393 metres long and 40 metres wide,293 metres long and 10 metres long wide,393 metres long and 20 metres wide.,295 metres long and 15 metres long wide,The Great Masjid,10
181,What is of prime importance  to Muslims in the design of mosques?,Utility.,Astrology.,Ostentation.,Aesthetic.,Utility.,The Great Masjid,10
182,How many rakah do we say in the Isha prayer?,"4 Fard, 2 sunnah and 1 witr.","4 Fard, 2 sunnah and 3 witr.","4 Fard, 2 sunnah and 1 witr.","3 Fard, 2 sunnah and 2 witr.","4 Fard, 3 sunnah and 3 witr.",The Great Masjid,10
183,How far is Madinah above the sea level?,600 metres.,600 metres.,200 metres.,300 metres.,400 metres.,The Great Masjid,10
184,Which was introduced first in the mosque architecture?,Minbar,Mihrab,Minarets,Minbar,Dome,The Great Masjid,10
185,What are tahajjud prayers?,Special prayers performed late at night or before the dawn prayer.,Special prayers performed at sunrise,Special prayers performed before Zuhr,Special prayers performed at night before going to bed.,Special prayers performed late at night or before the dawn prayer.,The Great Masjid,10
186,"The minbar in the Masjid al-Haram, at Makkah is usually placed near _______________.",The Statiion of Ibrahim.,Al-Hatim.,The Statiion of Ibrahim.,Al-Mazallah,Beside Aisha room.,The Great Masjid,10
187,"During the early Islamic period, which country had mosques with moon pavillions(see pic.)",China.,China.,Iran.,India.,Chechnya,The Great Masjid,10
188,How many surahs does the Holy Quran have?,One hundred and fourteen surahs.,One hundred and fourty-one surahs.,One hundred and forty-one surahs.,One hundred and fourteen surahs.,Six hundred and sixty-six surahs.,The Great Masjid,10
189,What is Al-Masa within the Haram of al-Masjid al-Haram at Makkah used for?, Sal.,Checking time.,Tawaf.,Wuquf., Sal.,The Great Masjid,10
190,Which is the first surah of the Quran?,"The surah al-Fatihah, or the opening chapter.",The Surah An-Nass,"The surah al-Fatihah, or the opening chapter.",The surah Al-Ikhlas,The surah Baqarah,The Great Masjid,10
191,The Dome of the Rock (Qubbat as-Sakhra) is built over special rock. What is special about this rock?(see pic) ,This was the rock from which Prophet Muhammad(SAW) made his Ascesion(miraj) to heaven.,Nothing.,The rock is a good wasila to Allah.,The rock gave birth to camel,This was the rock from which Prophet Muhammad(SAW) made his Ascesion(miraj) to heaven.,The Great Masjid,10
192,Where was the mosques that had a number pavillion set in a landscaped garden located?,China.,Delhi.,Syria.,China.,Japan.,The Great Masjid,10
193,What is the language of the Quran?(see pic),Arabic. ,Arabic. ,Aramaic.,Hebrew.,English.,The Great Masjid,10
194,How far is al-Hudaybiyyah from Makkah?,14.5 km(9 miles).,20km (12 miles),14.5 km(9 miles).,8km (5 miles),25km (15 miles),The Great Masjid,10
195,Which mosques does the minaret shown in the picture belong to? ,"The Great Mosque of Samara,Iraq.",the mosque of Ahmed Ibn Tulun,the Great mosque of Damascus,Ibn Khaldun mosque,"The Great Mosque of Samara,Iraq.",The Great Masjid,10
196,What is Zakah?,The obligatory tax on wealth which a Muslim must distribute among the poor and the needy. This is one the five pillars of Islam.,The obligatory tax on wealth which a non Muslim must pay to government.,The obligatory tax on wealth which a Muslim and non Muslim must pay to the needy.,The obligatory tax on wealth which a Muslim must distribute among the poor and the needy. This is one the five pillars of Islam.,The obligatory tax on agricultural produce paid by non Muslim to the government.,The Great Masjid,10
197,Is there a single minaret or double minarets beside as-Safa hill in Makkah?,Single.,Single.,double.,None of the above.,all of the above.,The Great Masjid,10
198,This is a picture of a famous Mosque located in which European city?,Rome.,Paris.,Rome.,Cordoba,Catalonia.,The Great Masjid,10
199,What is known as the qiblah?,"The direction of the prayer is called qiblah, which is, in fact, the direction of Kabah.",A high school in Sharjah.,The dome of Al-Aqsa mosque.,The dome of masjid nabawi.,"The direction of the prayer is called qiblah, which is, in fact, the direction of Kabah.",The Great Masjid,10
200,"How many minarets does the Masjid al-Haram, Makkah has after the new extension?",9 minarets.,12 minarets.,5 minarets.,9 minarets.,25 minarets.,The Great Masjid,10
201,What does the two-dimensional geometric decorative patterns produced on a mosque's walls or ceilings contain?,"Both, verses of the Quran and geometric shapes.","Both, verses of the Quran and geometric shapes.",verses of the Quran only.,geometric shapes only.,None of the above.,The Great Masjid,10
202,How many Fard are there in bath(ghusl)? 1.Rinsing the mouth with water 2. passing water into nostrils and cleaning them 3. Pouring water all over the body.,"1., 2., and 3.",1. and 3. only,"1., 2., and 3.",2. only,3. only,The Great Masjid,10
203,How tall are the minarets of the mosque of al-Masjid al-Haram?,89 metres.,80 metres,75 metres,95 metres,89 metres.,The Great Masjid,10
204,"This is the famous Great Mosque of Qairawan, originally built by Uqbah Ibn Nafi. Where is it situated?",Tunisia., Algeria.,Mauritania.,Tunisia., Morroco. ,The Great Masjid,10
205,Can we perform the Friday prayer alone?,No. it must be performed in congregation.,No. it must be performed in congregation.,Yes.,All of the above.,None of the above.,The Great Masjid,10
206,Where is the Cave of Hira situated?, Jabal al-Nur,Jabal Ayjad, Jabal al-Nur,Jabal al-Rahmah,Jabal Badr,The Great Masjid,10
207,This is the Great Mosque of Cordoba built by the Umayyad caliphs of spain. Who started building it?,Abd ar-Rahman ,Al-Walid,Abd al-Malik,Abd ar-Raheem,Abd ar-Rahman ,The Great Masjid,10
208,What are the faraidh in wudu? 1. To wash the face from top of the forehead down to the chin and as far as each ear; 2. To wash the hands up to the elbows; 3. To rub (masah) whole head with the wet hands; 4. To wash the feet up to ankles.,"1., 2., 3., and 4.",4. only,"1., and 2. only","1., 2., 3., and 4.","1., 2., and 3. only",The Great Masjid,10
209,Where is the Mosque of Bilal in Makkah situated?,"Jabal Abi Qubays, situated to the east of the Kabah.","Jabal Abi Qubays, situated to the east of the Kabah.",Jabal Utbah,Jabal Umar , Jabal Ayjdad,The Great Masjid,10
210,"This is the Jamma Masjid of Delhi, India, built in 1605-56. which Mughal king built it?",Shahjahan ,Jodha,Shahjahan , Akbar,Aurangzeb,The Great Masjid,10
211,"What are the compulsory prerequisites for salah? 1. Cleanliness(taharah) ensured by wudu or ghusl, 2. modest attire covering the whole body particularly from the shoulder to the knee(satr) for men, 3. entire body for women, 4. the right time, and direction towards the Kabah","1., 2., 3., and 4.","1., 3., and 4. only","2., and 3. only","1., and 4. only","1., 2., 3., and 4.",The Great Masjid,10
212,"Is Jabal al-Kabah situated to the south, north or south-west of the Kabah?",South-west.,North-East,North-West,South-west.,South-East,The Great Masjid,10
213,Which was the ottomen style of writing Arabic?,Diwani,Diwani,Taliq,Nastaliq,Amharic.,The Great Masjid,10
214,How does Satan(shaytan) mislead a man?,By creating false desires.,By living contended,By creating false desires.,By working hard for money,By loving your neighbour,The Great Masjid,10
215,Which was the first mosque built by the Prophet Muhammad(SAW)?,Masjid Quba,Masjid Cordoba,Masjid Namirah,Masjid al-Qublatayn,Masjid Quba,The Great Masjid,10
216,What do we call the structural element used as a device to support a dome?,Rib.,Zib,Nib,Rib.,Bin.,The Great Masjid,10
217,Which is the starting point of sa'y-Safa or Marwa?,Safa.,Safa.,Marwa,None of the above.,All of the above.,The Great Masjid,10
218,Can you identify this visual?,Al-Hajar al-Aswad or the Black Stone. This is fixed on one of the corners of the Kabah and part of the original relic from the times of the Prophet Ibrahim(Abraham) (AS).,The Green stones,Al-Hajar al-Aswad or the Black Stone. This is fixed on one of the corners of the Kabah and part of the original relic from the times of the Prophet Ibrahim(Abraham) (AS).,Gold pearls,Al Aqsa Dome,The Great Masjid,10
219,The Mosque in the picture is known as the Regent's Park Mosque. Where is it situated? ,London.,California,Istanbul,Isfahan.,London.,The Great Masjid,10
